algorithm,dataset,damping,affinity,preference,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,n_clusters,linkage,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,dip_threshold,significance,split_viewers_threshold,pval_strategy,n_boots,use_principal_components,use_log,n_clusters_init,n_split_trials,min_cluster_size,metric,leaf_size,init,max_iter,n_init,k,var,bandwidth,bin_seeding,xi,n_projections,n_samples,amount_clusters,epouch,similarity_matrix,n_neighbors,random_state,rows,cols,radius,threshold1,threshold2
optics,D5,,,,1.0,1.0,1.0,0.1143026734184588,0.0247916454417201,189.94488590696517,0.0052371132918806,0.7320094146374366,,,,,,,,,,,,,5.0,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,
optics,ecoli,,,,0.5068123135973123,0.5158402113334946,0.6755952380952381,0.3329975942772443,126.23863817067712,1.576111448007678,0.3881819634679949,0.5464732370632898,,,,,,,,,,,,,15.0,,,,,,,,,,0.2,,,,,,,,,,0.01,,,,,,,,,,,,
optics,elly2d10c13s,,,,0.0858430522779516,0.3058033937280182,0.3043633762517883,0.3179495089779725,880.9680715784722,0.7883188469335387,0.5591843991996827,0.33564366224473524,,,,,,,,,,,,,15.0,,,,,,,,,,0.05,,,,,,,,,,0.025,,,,,,,,,,,,
optics,glass,,,,0.250255341232407,0.376165431246785,0.5,0.462332143579597,77.2027681027763,1.5656264861592015,0.3897683491321535,0.41534116314901137,,,,,,,,,,,,,5.0,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,
optics,ionosphere,,,,0.3840278926665695,0.3585528714280616,0.8774928774928775,0.205397598603055,32.218847063940096,2.2202479243303626,0.3105350965199196,0.4540715724995418,,,,,,,,,,,,,15.0,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,
optics,s1,,,,0.9254150659828146,0.9483402790698148,0.9604,0.6512420394681379,7280.949917169979,1.0215252628405174,0.4946759847041754,0.8727584059330201,,,,,,,,,,,,,15.0,,,,,,,,,,0.05,,,,,,,,,,0.01,,,,,,,,,,,,
optics,s2,,,,0.7172789517424568,0.8652578705032502,0.885,0.4760423913989823,2093.760744132456,1.1248548708015351,0.4706203768273272,0.7579273234963431,,,,,,,,,,,,,15.0,,,,,,,,,,0.05,,,,,,,,,,0.01,,,,,,,,,,,,
optics,sonar,,,,0.0154166312551553,0.1772772119651014,0.7163461538461539,-0.0266984489003507,6.552807740349779,1.568453384432312,0.3893393612129048,0.23141796519750907,,,,,,,,,,,,,5.0,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,
optics,statlog,,,,0.2101586319624036,0.5270452161345868,0.4138528138528138,0.3365278311317798,1288.358329067244,0.9004109938290048,0.5262019653891657,0.4488194154664731,,,,,,,,,,,,,10.0,,,,,,,,,,0.1,,,,,,,,,,0.2,,,,,,,,,,,,
optics,unbalance,,,,0.9987696066296612,0.9910420646729936,0.9843076923076924,0.8185969420483631,37657.0420153104,0.5166498656939182,0.6593479633102176,0.9387361528861543,,,,,,,,,,,,,15.0,,,,,,,,,,0.01,,,,,,,,,,0.2,,,,,,,,,,,,
optics,wdbc,,,,0.320995424216356,0.2598334791547995,0.7838312829525483,0.22182583863094,141.38255942218467,1.801644055663652,0.3569332792216963,0.4105077110918651,,,,,,,,,,,,,5.0,,,,,,,,,,0.2,,,,,,,,,,0.01,,,,,,,,,,,,
optics,wine,,,,0.7044638126335068,0.7054609099497317,0.898876404494382,0.2281964312745506,60.41758256286689,1.5063033643347128,0.3989939981848309,0.6722105628949786,,,,,,,,,,,,,10.0,,,,,,,,,,0.2,,,,,,,,,,0.01,,,,,,,,,,,,
