algorithm,dataset,n_clusters,init,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,pretrain_epochs,clustering_epochs,damping,convergence_iter,affinity,preference,linkage,input_dim,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,ratio,max_n_leaf_nodes,n_clusters_init,dip_merge_threshold,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy,significance,split_viewers_threshold,pval_strategy,outliers,consider_duplicates,min_n_clusters,max_n_clusters,n_boots,use_principal_components,use_log,n_split_trials,min_cluster_size,metric,leaf_size,pn,max_iter,n_init,k,t,var,bandwidth,bin_seeding,xi,n_projections,n_samples,number_clusters,add_tails,max_cluster_size_diff_factor,amount_clusters,epouch,similarity_matrix,n_neighbors,rows,cols,radius,threshold1,threshold2
aec,D2,3.0,,2.0,,,,0.9940030181141498,0.9875832198614451,0.998,0.4722867447273736,1908.4417634355816,0.8907702552211304,0.5288849860201802,0.8914052127702562,200.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,D3,3.0,,2.0,,,,0.8854662882777519,0.861683475104548,0.96,0.6412985755119339,3538.8869239912838,0.5738892793336586,0.6353687093055062,0.8477402657123582,100.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,D4,2.0,,5.0,,,,0.5236992300809743,0.4206196490938204,0.862,0.5017786808750623,1417.4934297424477,0.8028123944286198,0.5546888867030106,0.575129113622207,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,D5,2.0,,2.0,,,,-0.0004234861524356,-0.0003065273443472,0.512,0.356920660484183,593.1015153459781,1.1658930249105748,0.4617033198309912,0.23241774644929364,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,ecoli,8.0,,2.0,{'lr': 0.01},{'lr': 1e-05},42.0,0.3161372791812157,0.4371404681751808,0.7023809523809523,0.0833988619671868,86.08872632009746,2.670735225612456,0.2724249880575768,0.4317476897127218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,elly2d10c13s,10.0,,2.0,,,,0.3956855839116383,0.5602765631090019,0.6005007153075823,0.3883208895139922,2675.8354857070626,0.8126121911569314,0.5516899891099886,0.5403070472595936,200.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,glass,6.0,,2.0,{'lr': 0.001},{'lr': 0.001},42.0,0.1808325518874438,0.2746159488572922,0.5046728971962616,0.1262449054449055,36.506185040387294,3.150367984242855,0.2409424908337202,0.3209366143486769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,ionosphere,2.0,,10.0,{'lr': 0.001},{'lr': 0.0001},42.0,0.1824309087720177,0.1359326617586362,0.7150997150997151,0.2885930081588028,111.78477741312456,1.5594021007895753,0.3907162534919777,0.33453158564565816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,s1,15.0,,2.0,{'lr': 0.0001},{'lr': 0.001},42.0,0.7502347880530191,0.8823179092046514,0.7814,0.5227806416484359,6085.278158378123,0.7771249454451635,0.5627066361107792,0.7764545369532226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,s2,15.0,,5.0,{'lr': 0.0001},{'lr': 0.0001},42.0,0.7796085365411153,0.8800019693895104,0.8388,0.513081525601831,7625.3262997240945,0.7860417697129337,0.5598973198486437,0.7890610363242352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,sonar,2.0,,5.0,{'lr': 0.0001},{'lr': 0.0001},42.0,0.1293238555148369,0.1055731724565013,0.6826923076923077,0.0817917133088097,15.277102145571623,3.5566760641168957,0.2194582160173382,0.24535262704317554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,statlog,7.0,,5.0,{'lr': 0.01},{'lr': 0.0001},42.0,0.6655982345415578,0.7621976788392495,0.793939393939394,0.2879233246358148,1178.898442459017,1.5501649620739308,0.3921314953628515,0.6734289570954037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,unbalance,8.0,,2.0,{'lr': 0.0001},{'lr': 1e-05},42.0,0.7965091563750472,0.813133795072876,0.9384615384615383,0.6084351830615439,6138.263984809398,0.9117115924551208,0.5230914558172173,0.7769064055538489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,wdbc,2.0,,5.0,{'lr': 0.0001},{'lr': 0.001},42.0,0.7608006141586142,0.6622356894318956,0.936731107205624,0.3838960849404143,362.4646575119938,1.1361598030368794,0.4681297712738281,0.7057225604082838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
