threshold1,threshold2,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.5,0.15,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.2,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.3,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.5,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,0.75,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.5,1.0,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.001,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.005,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.01,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.05,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.075,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.1,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.15,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.2,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.3,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.5,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,0.75,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
0.75,1.0,0.04860662934873911,0.18627896394322535,0.3895939086294416,0.1417297137885089,66.52344408709821,0.7564280252082376,0.5693373059687103
1.0,0.001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
